Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,,307.9722222,312.3666667,314.9833333,316.8277778,318.6666667,320.6222222,322.4944444,324.3611111,326.2444444,328.1388889,330.2111111,332.4944444,334.6611111,336.25,336.9722222,336.6055556,335.3666667,333.9222222,333.2111111,333.8666667,336.4833333,340.8,345.5777778,349.0611111,350.1555556,348.0222222,343.5277778,339.3166667,339.0666667,345.2666667,359.0166667,379.0833333,402.7666667,426.1111111,446.2555556,462.1944444,474.7055556,484.8666667,494.4666667,504.7666667,516.0777778,527.75,538.9722222,548.5666667,555.7277778,560.1666667,562.3222222,563.0111111,563.4222222,564.4277778,566.3111111,568.85,571.7833333,574.6722222,577.1611111,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.03814754,14.31206078,14.59969212,14.90157921,15.21820605,15.54520265,15.88181233,16.23593113,16.61843274,17.03442851,17.48126857,17.94702693,18.41514873,18.864003,19.27358699,19.65407744,19.99892626,20.25326563,20.34629017,20.23620991,19.9076724,19.40232362,18.80815948,18.24665319,17.81468921,17.5212894,17.36655945,17.42451368,17.78076617,18.48416199,19.58976503,21.05448335,22.70681463,24.30837699,25.6908403,26.77725699,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554,49.82164936,
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.305195316,4.384298548,4.464432502,4.544558434,4.624227962,4.703271036,4.782891634,4.865720703,4.955244245,5.054118072,5.163748296,5.284067538,5.414466191,5.553660865,5.700917623,5.855063768,6.016940724,6.19005294,6.379146547,6.586949547,6.816355178,7.064659501,7.322254753,7.575934868,7.816803561,8.040186091,8.250350525,8.458252988,8.679708029,8.925860271,9.202031764,9.504268068,9.823362477,10.14557071,10.46175182,10.76827866,11.0707211,11.38021176,11.71250742,12.07879843,12.48318842,12.92187054,13.38846154,13.87302479,14.36828587,14.87243683,15.38774926,15.91581856,16.45953557,17.02089837,17.6003016,18.19654448,18.80821529,19.43332317,20.07056549,
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.57664234,62.45689781,64.32923358,66.20930657,68.05806569,69.87492701,71.73715328,73.80554745,75.97427007,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0138686,105.8484307,105.7172263,105.6078102,105.4440511,
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,30.58723404,32.71489362,34.91489362,37.17021277,39.47021277,41.8,44.15957447,46.57021277,49.06595745,51.65744681,54.38297872,57.21702128,60.06595745,62.79574468,65.33191489,67.61914894,69.7212766,71.8,74.08297872,76.72978723,79.79148936,83.21702128,86.94042553,90.85957447,94.88723404,98.96808511,103.1021277,107.3,111.593617,115.9808511,120.5829787,125.3276596,129.793617,133.4191489,135.8595745,136.7893617,136.4829787,135.9319149,136.512766,139.1468085,144.1914894,151.1617021,159.112766,166.6744681,172.8148936,177.3893617,180.5914894,182.1617021,181.8595745,179.6148936,175.1617021,168.7574468,161.493617,154.8638298,149.9425532,
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,6.97565625,7.168473853,7.367891926,7.574221609,7.787667982,8.009202196,8.238918643,8.475181024,8.715688771,8.95928437,9.20459055,9.453474673,9.711955917,9.988081099,10.28743354,10.61227162,10.96019294,11.32628919,11.70328041,12.08565699,12.47185733,12.86278903,13.25834493,13.65907596,14.06531808,14.47588001,14.88986729,15.30829865,15.73274557,16.30914921,16.75504065,17.0677029,17.53092683,17.98767705,18.55162331,18.98045297,19.4012761,19.81511458,20.2327639,20.66006421,21.09708301,21.54415979,22.00787972,22.49533769,23.01147071,23.55973613,24.13698798,24.73338322,25.33781486,25.9300992,26.5109811,27.08284487,27.64937193,28.21705399,28.79055425,
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,,1.207954545,1.342583732,1.497799043,1.653349282,1.798062201,1.926758373,2.054796651,2.216650718,2.458971292,2.816196172,3.29138756,3.876423445,4.579222488,5.406076555,6.354844498,7.440801435,8.646519139,9.897057416,11.09214115,12.16254785,13.07545455,13.85738038,14.57204545,15.31433014,16.15350478,17.11181818,18.1697488,19.30507177,20.47986842,21.66815789,22.88504785,24.15088517,25.4529067,26.77369617,28.1123445,29.51825359,31.04330144,32.70059809,34.49985646,36.48478469,38.49120813,40.59880383,43.37078947,47.55915072,53.61215311,61.85711722,71.89114833,82.53758373,92.17013158,99.63460526,104.4823206,107.087823,108.1337081,108.6858732,109.5330502,
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,,7.656358228,7.778623812,7.900728617,8.02207265,8.142460052,8.261347467,8.379539151,8.49978368,8.6257457,8.759874885,8.903617874,9.055811948,9.213096112,9.370628387,9.525001005,9.674882066,9.821560718,9.967421228,10.11606357,10.27003022,10.42988647,10.59454633,10.76290665,10.93324673,11.1042102,11.27538815,11.44684747,11.61823773,11.78926331,11.95960814,12.1292218,12.29775714,12.46429519,12.627705,12.78727879,12.94252656,13.09390724,13.24285104,13.39137937,13.54097578,13.69228338,13.84498902,13.99847078,14.15168616,14.30395514,14.45496202,14.60519935,14.75573046,14.90802429,15.06304148,15.22116718,15.3818021,15.54370572,15.70511311,15.86469604,
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,67.9395504,70.3256059,72.72311205,75.10126449,77.43765367,79.71461187,81.93270109,84.11081841,86.27924131,88.45830699,90.65310854,92.85086055,95.03280646,97.17228662,99.25008781,101.2585529,103.2027046,105.0914647,106.9393748,108.7565156,110.4982438,112.1488233,113.776326,115.4755181,117.2865121,119.301405,121.4279593,123.303091,124.4369512,124.5063224,123.3548296,121.162522,118.3587285,115.5582367,113.212961,111.4655778,110.2090622,109.341693,108.6694766,108.0469968,107.482824,107.0336846,106.6533193,106.2866877,105.898033,105.4499824,104.9566913,104.4969793,104.1836319,104.0918862,104.2495258,104.613242,105.0998244,105.5902353,105.9962065,
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,102.39,105.59,109.415,113.505,117.59,121.6,125.58,129.43,133.075,136.46,139.58,142.45,145.07,147.455,149.66,151.625,153.45,155.525,158.35,162.28,167.44,173.7,180.825,188.435,196.235,204.175,212.24,220.245,227.955,235.22,241.895,247.985,253.625,259.035,264.37,269.63,274.71,279.495,283.84,287.61,290.88,293.645,295.585,296.31,295.585,293.24,289.52,285.155,281.13,278.18,276.58,276.135,276.51,277.17,277.69,
